racecourse,Country
Ascot,ENGLAND
Bath,ENGLAND
Brighton,ENGLAND
Carlisle,ENGLAND
Catterick,ENGLAND
Chelmsford City,ENGLAND
Chester,ENGLAND
Chepstow,WALES
Doncaster,ENGLAND
Epsom,ENGLAND
Exeter,ENGLAND
Folkestone,ENGLAND
Goodwood,ENGLAND
Haydock,ENGLAND
Kempton,ENGLAND
Leicester,ENGLAND
Lingfield,ENGLAND
Newbury,ENGLAND
Newcastle,ENGLAND
Newmarket,ENGLAND
Nottingham,ENGLAND
Pontefract,ENGLAND
Redcar,ENGLAND
Ripon,ENGLAND
Salisbury,ENGLAND
Sandown,ENGLAND
Southwell,ENGLAND
Thirsk,ENGLAND
Windsor,ENGLAND
Wolverhampton,ENGLAND
Worcester,ENGLAND
Yarmouth,ENGLAND
York,ENGLAND
Ayr,SCOTLAND
Hamilton,SCOTLAND
Musselburgh,SCOTLAND
Perth,SCOTLAND
Ayr,SCOTLAND
Ffos Las,WALES
Bangor-on-Dee,WALES
Curragh,IRELAND
Leopardstown,IRELAND
Navan,IRELAND
Punchestown,IRELAND
Fairyhouse,IRELAND
Galway,IRELAND
Cork,IRELAND
Dundalk,IRELAND
Tipperary,IRELAND
Killarney,IRELAND
Naas,IRELAND
Limerick,IRELAND
Listowel,IRELAND
Gowran Park,IRELAND
Tramore,IRELAND
Sligo,IRELAND
Bellewstown,IRELAND
Down Royal,IRELAND
Roscommon,IRELAND
Clonmel,IRELAND
Wexford,IRELAND
Ballinrobe,IRELAND
Thurles,IRELAND
Downpatrick,IRELAND
Kilbeggan,IRELAND
Laytown,IRELAND
Longchamp,FRANCE
Chantilly,FRANCE
Deauville,FRANCE
Saint-Cloud,FRANCE
Maisons-Laffitte,FRANCE
Auteuil,FRANCE
Cagnes-Sur-Mer,FRANCE
