racecourse,raceid,racedate,racetime,horseno,horsename,pricemoney,numrunners,raceterms,going,OR,TS,RPR,Flag1,Flag2,Flag3,Flag4,Flag5,draw,pastperformance,lastrun,horseage,weight,trainerRFT,jockeyallowance
Chukyo,776337,2021-01-16,6:35,1,Donau Delta,259759,18,EW Terms:,Good To Firm,NA,NA,NA,NA,NA,NA,NA,NA,1,10910-,28,5,119,,
Chukyo,776337,2021-01-16,6:35,2,Win Mighty,259759,18,EW Terms:,Good To Firm,NA,NA,NA,NA,NA,NA,NA,NA,2,13690-,62,4,117,,
Chukyo,776337,2021-01-16,6:35,3,Dirndl,259759,18,EW Terms:,Good To Firm,NA,NA,NA,NA,NA,NA,NA,NA,3,00008-,104,5,119,,
Chukyo,776337,2021-01-16,6:35,4,Uranus Charm,259759,18,EW Terms:,Good To Firm,NA,NA,NA,NA,NA,NA,NA,NA,4,06510-,62,6,119,,
Chukyo,776337,2021-01-16,6:35,5,Centelleo,259759,18,EW Terms:,Good To Firm,NA,NA,NA,NA,NA,NA,NA,NA,5,55215-,62,6,123,,
Chukyo,776337,2021-01-16,6:35,6,Tagano Aswad,259759,18,EW Terms:,Good To Firm,NA,NA,NA,NA,NA,NA,NA,NA,6,08100-,35,7,115,,
Chukyo,776337,2021-01-16,6:35,7,Satono Garnet,259759,18,EW Terms:,Good To Firm,NA,NA,NA,NA,NA,NA,NA,NA,7,92408-,35,6,121,,
Chukyo,776337,2021-01-16,6:35,8,Summer Scent,259759,18,EW Terms:,Good To Firm,NA,NA,NA,NA,NA,NA,NA,NA,8,56310-,153,5,115,,
Chukyo,776337,2021-01-16,6:35,9,Cathedral Bell,259759,18,EW Terms:,Good To Firm,NA,NA,NA,NA,NA,NA,NA,NA,9,41107-,97,5,117,,
Chukyo,776337,2021-01-16,6:35,10,Satono Damsel,259759,18,EW Terms:,Good To Firm,NA,NA,NA,NA,NA,NA,NA,NA,10,/2152-,132,5,117,,
Chukyo,776337,2021-01-16,6:35,11,Denko Ange,259759,18,EW Terms:,Good To Firm,NA,NA,NA,NA,NA,NA,NA,NA,11,14040-,35,8,123,,
Chukyo,776337,2021-01-16,6:35,12,Red Aster,259759,18,EW Terms:,Good To Firm,NA,NA,NA,NA,NA,NA,NA,NA,12,1/241-,650,5,117,,
Chukyo,776337,2021-01-16,6:35,13,Ablaze,259759,18,EW Terms:,Good To Firm,NA,NA,NA,NA,NA,NA,NA,NA,13,11000-,90,4,117,,
Chukyo,776337,2021-01-16,6:35,14,Rambling Alley,259759,18,EW Terms:,Good To Firm,NA,NA,NA,NA,NA,NA,NA,NA,14,11617-,28,5,119,,
Chukyo,776337,2021-01-16,6:35,15,Shigeru Pink Dia,259759,18,EW Terms:,Good To Firm,NA,NA,NA,NA,NA,NA,NA,NA,15,06572-,35,5,119,,
Chukyo,776337,2021-01-16,6:35,16,Lindy Hop,259759,18,EW Terms:,Good To Firm,NA,NA,NA,NA,NA,NA,NA,NA,16,50841-,216,6,115,,
Chukyo,776337,2021-01-16,6:35,17,Naruhaya,259759,18,EW Terms:,Good To Firm,NA,NA,NA,NA,NA,NA,NA,NA,17,24801-,167,7,115,,
Chukyo,776337,2021-01-16,6:35,18,Magic Castle,259759,18,EW Terms:,Good To Firm,NA,NA,NA,NA,NA,NA,NA,NA,18,20542-,90,4,119,,
Lingfield (AW),774003,2021-01-16,11:45,1,Stormingin,2782,13                            (MAX 14),EW Terms:,Standard,62,25,74,37,-110,-61,-142.75,-44.6666666666667,12,36428-,44,8,135,54,7
Lingfield (AW),774003,2021-01-16,11:45,2,Art Of America,2782,13                            (MAX 14),EW Terms:,Standard,61,50,78,67,-84,-56,-48,-24.3333333333333,2,7006-9,14,6,134,33,5
Lingfield (AW),774003,2021-01-16,11:45,3,Voi,2782,13                            (MAX 14),EW Terms:,Standard,60,53,79,72,-80,-54,-30.5,-20.6666666666667,9,4553-3,7,7,133,33,5
Lingfield (AW),774003,2021-01-16,11:45,4,Ruby Red Empress,2782,13                            (MAX 14),EW Terms:,Standard,61,30,68,37,-103,-65,-142.75,-43.6666666666667,1,66603-,122,4,133,57,3
Lingfield (AW),774003,2021-01-16,11:45,5,Merweb,2782,13                            (MAX 14),EW Terms:,Standard,59,66,79,86,-66,-53,13.25,-11,7,0043-7,14,6,132,30,
Lingfield (AW),774003,2021-01-16,11:45,6,Tebay,2782,13                            (MAX 14),EW Terms:,Standard,59,NA,73,NA,NA,-59,NA,NA,14,13016-,25,6,132,60,
Lingfield (AW),774003,2021-01-16,11:45,7,Cafe Sydney,2782,13                            (MAX 14),EW Terms:,Standard,59,65,73,79,-67,-59,-12.25,-15.6666666666667,10,5331-1,12,5,132,32,
Lingfield (AW),774003,2021-01-16,11:45,8,Cafe Milano,2782,13                            (MAX 14),EW Terms:,Standard,59,63,78,82,-68,-53,3.25,-13,5,76225-,44,4,131,80,
Lingfield (AW),774003,2021-01-16,11:45,9,Saucy Encore,2782,13                            (MAX 14),EW Terms:,Standard,58,68,75,85,-62,-55,11.75,-10.6666666666667,11,6326-4,7,4,130,67,3
Lingfield (AW),774003,2021-01-16,11:45,10,Enmeshing,2782,13                            (MAX 14),EW Terms:,Standard,57,13,77,33,-117,-53,-143.75,-45.6666666666667,4,7090-4,12,8,130,35,
Lingfield (AW),774003,2021-01-16,11:45,11,Mr Dib Dab,2782,13                            (MAX 14),EW Terms:,Standard,58,64,75,81,-66,-55,-0.25,-13.3333333333333,3,00370-,21,4,130,43,
Lingfield (AW),774003,2021-01-16,11:45,12,Bruyere,2782,13                            (MAX 14),EW Terms:,Standard,56,43,66,53,-86,-63,-90.25,-32,13,/8095-,35,5,129,33,
Lingfield (AW),774003,2021-01-16,11:45,13,Regulator,2782,13                            (MAX 14),EW Terms:,Standard,52,65,73,86,-60,-52,21,-8.66666666666667,6,0000-3,12,6,125,35,
Lingfield (AW),774003,2021-01-16,11:45,14,Confab,2782,13                            (MAX 14),EW Terms:,Standard,48,68,73,93,-53,-48,49,-2.66666666666667,8,0/88-3,11,5,121,38,
Fairyhouse,776172,2021-01-16,12:00,1,Alexei Vronsky,NA,8,EW Terms:,Heavy,NA,50,114,NA,-111,-47,NA,NA,,461,53,4,161,33,
