resultraceid,result_pos,resulthorsenum,resulthorsename,resultdate,resulttime,resultcourse
776422,1,16,Atletico El Culano,2021-01-17,11:40,Maronas
776422,2,9,Olympic Harvard,2021-01-17,11:40,Maronas
776422,3,4,Keep Down,2021-01-17,11:40,Maronas
776422,4,17,Mitterrand,2021-01-17,11:40,Maronas
776422,5,12,El Curato,2021-01-17,11:40,Maronas
776422,6,3,Bobby Q,2021-01-17,11:40,Maronas
776422,7,2,Hechicero,2021-01-17,11:40,Maronas
776422,8,6,Mourinho,2021-01-17,11:40,Maronas
776422,9,11,Miltitoplp,2021-01-17,11:40,Maronas
776422,10,13,Independent Honour,2021-01-17,11:40,Maronas
776422,11,5,Leopardo Real,2021-01-17,11:40,Maronas
776422,12,10,Little Vicky,2021-01-17,11:40,Maronas
776422,13,14,Cerro Largo,2021-01-17,11:40,Maronas
776422,14,7,Garmisch,2021-01-17,11:40,Maronas
776422,15,15,Mundanal,2021-01-17,11:40,Maronas
776422,16,8,Capita,2021-01-17,11:40,Maronas
776421,1,8,Quick,2021-01-17,11:37,Santa Anita
776421,2,5,Hermaphrodite,2021-01-17,11:37,Santa Anita
776421,3,3,Altea,2021-01-17,11:37,Santa Anita
776421,4,6,Lucky Peridot,2021-01-17,11:37,Santa Anita
776421,5,7,Carpe Vinum,2021-01-17,11:37,Santa Anita
776421,6,9,Ms Peintour,2021-01-17,11:37,Santa Anita
776421,7,4,Aunt Lubie,2021-01-17,11:37,Santa Anita
776421,8,2,Miss Addie Pray,2021-01-17,11:37,Santa Anita
776421,9,1,Avenue De France,2021-01-17,11:37,Santa Anita
776420,1,1,Aero Trem,2021-01-17,10:00,Maronas
776420,2,9,Sub Manner,2021-01-17,10:00,Maronas
776420,3,6,Rey Victorioso,2021-01-17,10:00,Maronas
776420,4,14,Silver Rye,2021-01-17,10:00,Maronas
776420,5,11,Gaucho,2021-01-17,10:00,Maronas
776420,6,4,Homeu,2021-01-17,10:00,Maronas
776420,7,8,Blanc De Noirs,2021-01-17,10:00,Maronas
776420,8,15,El Prodigo,2021-01-17,10:00,Maronas
776420,9,12,Larravide,2021-01-17,10:00,Maronas
776420,10,1,Al Mare,2021-01-17,10:00,Maronas
776420,11,2,Mindcraft Plane,2021-01-17,10:00,Maronas
776420,12,5,Leoparda Brava,2021-01-17,10:00,Maronas
776420,13,10,Noidea Day,2021-01-17,10:00,Maronas
776420,14,3,Pushkin,2021-01-17,10:00,Maronas
776420,15,2,Lo Felipe,2021-01-17,10:00,Maronas
776420,16,7,Great Spirit,2021-01-17,10:00,Maronas
776419,1,7,Honra Real,2021-01-17,6:50,Maronas
776419,2,5,Instamancha,2021-01-17,6:50,Maronas
776419,3,8,Blossom,2021-01-17,6:50,Maronas
776419,4,3,Fanatica,2021-01-17,6:50,Maronas
776419,5,9,Villa D'Este,2021-01-17,6:50,Maronas
776419,6,2,Sentimental,2021-01-17,6:50,Maronas
776419,7,4,Astrid,2021-01-17,6:50,Maronas
776419,8,12,Algecira Fever,2021-01-17,6:50,Maronas
776419,9,6,Que Felicidad,2021-01-17,6:50,Maronas
776419,10,1,Nessum Dorma,2021-01-17,6:50,Maronas
776419,11,11,Cozy Fever,2021-01-17,6:50,Maronas
776419,NA,1,Otimista Ph,2021-01-17,6:50,Maronas
774011,1,2,Motawaafeq,2021-01-17,4:05,Southwell (AW)
774011,2,5,Nordic Fire,2021-01-17,4:05,Southwell (AW)
774011,3,8,Iva Reflection,2021-01-17,4:05,Southwell (AW)
774011,4,6,Nick Vedder,2021-01-17,4:05,Southwell (AW)
774011,5,9,Bond Angel,2021-01-17,4:05,Southwell (AW)
774011,6,1,Al Suil Eile,2021-01-17,4:05,Southwell (AW)
774011,7,7,Kraka,2021-01-17,4:05,Southwell (AW)
774011,8,3,Salam Ya Faisal,2021-01-17,4:05,Southwell (AW)
774011,9,12,Unapologetic,2021-01-17,4:05,Southwell (AW)
774011,10,4,Global Melody,2021-01-17,4:05,Southwell (AW)
774011,11,11,Western Dawn,2021-01-17,4:05,Southwell (AW)
776181,1,1,Atlantic Shore,2021-01-17,3:50,Punchestown
776181,2,4,Screaming Colours,2021-01-17,3:50,Punchestown
776181,3,12,Cushinstown Finest,2021-01-17,3:50,Punchestown
776181,4,2,High Sparrow,2021-01-17,3:50,Punchestown
776181,5,7,Spades Are Trumps,2021-01-17,3:50,Punchestown
776181,6,10,Minellafordollars,2021-01-17,3:50,Punchestown
776181,7,9,Cappacurry Zak,2021-01-17,3:50,Punchestown
776181,NA,5,Out Sam,2021-01-17,3:50,Punchestown
776181,NA,13,Spancil Hill,2021-01-17,3:50,Punchestown
776181,NA,6,Fairly Legal,2021-01-17,3:50,Punchestown
776181,NA,3,Mormon,2021-01-17,3:50,Punchestown
776181,NA,8,Major Destination,2021-01-17,3:50,Punchestown
774008,1,6,Requinto Dawn,2021-01-17,3:35,Southwell (AW)
774008,2,5,Alsvinder,2021-01-17,3:35,Southwell (AW)
774008,3,3,Katheefa,2021-01-17,3:35,Southwell (AW)
774008,4,4,Storm Over,2021-01-17,3:35,Southwell (AW)
774008,5,7,Bellevarde,2021-01-17,3:35,Southwell (AW)
774008,6,2,Zylan,2021-01-17,3:35,Southwell (AW)
774008,7,9,Shackabooah,2021-01-17,3:35,Southwell (AW)
774008,8,1,Wasntexpectingthat,2021-01-17,3:35,Southwell (AW)
774008,9,8,Equidae,2021-01-17,3:35,Southwell (AW)
776151,1,7,Son Of Normandy,2021-01-17,3:30,Abu Dhabi
776151,2,2,Blue Sovereign,2021-01-17,3:30,Abu Dhabi
776151,3,11,East Asia,2021-01-17,3:30,Abu Dhabi
776151,4,14,Terrain,2021-01-17,3:30,Abu Dhabi
776151,5,1,Celestial Spheres,2021-01-17,3:30,Abu Dhabi
776151,6,9,Autumn Pride,2021-01-17,3:30,Abu Dhabi
776151,7,5,Cranesbill,2021-01-17,3:30,Abu Dhabi
776151,8,4,Skygazer,2021-01-17,3:30,Abu Dhabi
776151,9,3,Franz Schubert,2021-01-17,3:30,Abu Dhabi
776151,10,12,Immortalised,2021-01-17,3:30,Abu Dhabi
776151,11,8,Fitzsimmons,2021-01-17,3:30,Abu Dhabi
776151,12,6,Murray River,2021-01-17,3:30,Abu Dhabi
776151,13,10,Bowditch,2021-01-17,3:30,Abu Dhabi
776151,14,13,Gypsy Moth,2021-01-17,3:30,Abu Dhabi
776180,1,2,Kristian Goingwel,2021-01-17,3:20,Punchestown
776180,2,5,Goulane Jessie,2021-01-17,3:20,Punchestown
776180,3,1,An Marcach,2021-01-17,3:20,Punchestown
776180,4,11,Wee Small Hours,2021-01-17,3:20,Punchestown
776180,5,4,It's Only A Number,2021-01-17,3:20,Punchestown
776180,6,12,Flynsini,2021-01-17,3:20,Punchestown
776180,7,6,Cash Me Outside,2021-01-17,3:20,Punchestown
776180,8,7,Sweet As A Nut,2021-01-17,3:20,Punchestown
776180,9,8,Load Up Time,2021-01-17,3:20,Punchestown
776180,10,9,Pacte In The Park,2021-01-17,3:20,Punchestown
776180,NA,3,Princely Conn,2021-01-17,3:20,Punchestown
776180,NA,10,Greenway Machine,2021-01-17,3:20,Punchestown
774010,1,7,False Id,2021-01-17,3:05,Southwell (AW)
774010,2,1,Maykir,2021-01-17,3:05,Southwell (AW)
774010,3,5,Dramatista,2021-01-17,3:05,Southwell (AW)
774010,4,2,Grimsthorpe Castle,2021-01-17,3:05,Southwell (AW)
774010,5,3,Flight Command,2021-01-17,3:05,Southwell (AW)
774010,6,6,Going Native,2021-01-17,3:05,Southwell (AW)
776178,1,12,Owl Creek Bridge,2021-01-17,2:50,Punchestown
776178,2,6,Favori Logique,2021-01-17,2:50,Punchestown
776178,3,3,Casamari Abbey,2021-01-17,2:50,Punchestown
776178,4,1,Blue Markie,2021-01-17,2:50,Punchestown
776178,5,14,Beeper's Ruby,2021-01-17,2:50,Punchestown
776178,6,11,Le Pogues Storm,2021-01-17,2:50,Punchestown
776178,NA,7,Good Luck Hope,2021-01-17,2:50,Punchestown
776178,NA,8,Half Shot,2021-01-17,2:50,Punchestown
776178,NA,2,Cappacon,2021-01-17,2:50,Punchestown
776178,NA,10,Jack Fiasco,2021-01-17,2:50,Punchestown
776178,NA,9,Hell On Earth,2021-01-17,2:50,Punchestown
776178,NA,15,Miss Cedille,2021-01-17,2:50,Punchestown
776178,NA,5,Ensel Du Perche,2021-01-17,2:50,Punchestown
776178,NA,4,Castlegrange,2021-01-17,2:50,Punchestown
774006,1,2,Notation,2021-01-17,2:35,Southwell (AW)
774006,2,1,Chipiron,2021-01-17,2:35,Southwell (AW)
774006,3,5,Mukha Magic,2021-01-17,2:35,Southwell (AW)
774006,4,3,Summeronsevenhills,2021-01-17,2:35,Southwell (AW)
774006,5,4,Arabian King,2021-01-17,2:35,Southwell (AW)
776183,1,11,Klassy Kay,2021-01-17,2:20,Punchestown
776183,2,8,Exit To The West,2021-01-17,2:20,Punchestown
776183,3,7,Amor Verdadero,2021-01-17,2:20,Punchestown
776183,4,5,Smiths Girl,2021-01-17,2:20,Punchestown
776183,5,12,Howaya Aoife,2021-01-17,2:20,Punchestown
776183,6,3,Owenacurra Lass,2021-01-17,2:20,Punchestown
776183,7,10,Hidden Dilemma,2021-01-17,2:20,Punchestown
776183,8,9,Lauderdale Lady,2021-01-17,2:20,Punchestown
776183,9,2,Duchess Ravenwaves,2021-01-17,2:20,Punchestown
776183,10,6,Lily's Gem,2021-01-17,2:20,Punchestown
776183,NA,13,Strong Roots,2021-01-17,2:20,Punchestown
774007,1,3,Thrave,2021-01-17,2:05,Southwell (AW)
774007,2,4,Defence Treaty,2021-01-17,2:05,Southwell (AW)
